Component,Part Number,Quantity,Supplier,Unit Cost (USD),Notes
MCU,ESP32-C3 Super Mini,1,AliExpress / Amazon,~3,Single-core 160 MHz; native USB-CDC; no USB-UART chip
PWM Servo Driver,PCA9685 16-ch,1,AliExpress / Adafruit,~2–5,I2C 0x40; 50 Hz PWM; drives all 15 servos
IMU,MPU6050,1,AliExpress / Adafruit,~1–3,I2C 0x68; 6-axis accel + gyro; complementary filter in firmware
Leg Servo,MG995 (Metal Gear),8,AliExpress / Amazon,~4–6 each,PWM 600–2650 µs; torque ~13 kg·cm; ch 0–3 and 12–15
Arm Servo,Futaba S3003,7,eBay / secondhand,~5–10 each,PWM 900–2100 µs; ch 4–10 (6 arm DOF + hip yaw)
LiPo Battery,2S 7.4V 2200mAh,1,HobbyKing / Amazon,~15–25,Servo power rail; adequate for ~15 min operation at moderate load
DC-DC Buck Converter,LM2596 / MP1584,1,AliExpress,~1–2,Steps 7.4V → 5V for ESP32-C3 and PCA9685 logic
Micro USB / USB-C Cable,—,1,—,—,Flashing and serial monitor; ESP32-C3 Super Mini uses USB-C
I2C Pull-up Resistors,4.7 kΩ,2,Generic,<0.01 each,SDA and SCL lines; may be omitted if PCA9685 module has on-board pull-ups
Pin Headers / Dupont Wires,—,assorted,AliExpress,~2–5,Servo JST → PCA9685 channel header connections
M2 / M3 Screws and Nuts,—,assorted,Hardware store,~3–5,Frame assembly; STL parts designed for M2 inserts and M3 bolts
3D Printed Frame,—,1 set,Self-printed (PLA/PETG),~5–15 filament,STL files in hardware/optimus-biped-robot/STL/; STEP source in STEP/
